Pitch, Yaw
0.019283,0.018205
0.019278,0.018366
0.019192,0.018518
0.019088,0.018514
0.018999,0.018642
0.019046,0.018493
0.019046,0.018493
0.019046,0.018493
0.019018,0.018590
0.018988,0.018680
0.018988,0.018680
0.018909,0.018697
0.018827,0.018768
0.018757,0.018791
0.018884,0.018609
0.018903,0.018614
0.018878,0.018699
0.018913,0.018702
0.018913,0.018702
0.018913,0.018702
0.018877,0.018766
0.018925,0.018671
0.018871,0.018675
0.018926,0.018597
0.019075,0.018404
0.019075,0.018404
0.019075,0.018404
0.019075,0.018404
0.019075,0.018404
0.019075,0.018404
0.019071,0.018457
0.019031,0.018550
0.018908,0.018720
0.018934,0.018649
0.018942,0.018711
0.018942,0.018711
0.019037,0.018556
0.019037,0.018556
0.018999,0.018661
0.018836,0.018588
0.018775,0.018695
0.018702,0.018733
0.018704,0.018782
0.018691,0.018822
0.018691,0.018822
0.018691,0.018822
0.018691,0.018822
0.018691,0.018822
0.018683,0.018931
0.018615,0.018963
0.018543,0.018957
0.018539,0.019056
0.018490,0.019203
0.018490,0.019203
0.018510,0.019148
0.018510,0.019148
0.018510,0.019148
0.018502,0.019235
0.018521,0.019281
0.018484,0.019264
0.018496,0.019306
0.018588,0.019247
0.018607,0.019226
0.018607,0.019226
0.018607,0.019226
0.018607,0.019226
0.018607,0.019226
0.018615,0.019278
0.018615,0.019278
0.018558,0.019291
0.018569,0.019309
0.018571,0.019263
0.018571,0.019263
0.018571,0.019263
0.018571,0.019263
0.018571,0.019263
0.018571,0.019263
0.018571,0.019263
0.018534,0.019235
0.018537,0.019254
0.018537,0.019254
0.018537,0.019254
0.018537,0.019254
0.018537,0.019254
0.018537,0.019254
0.018537,0.019254
0.018550,0.019279
0.018540,0.019265
0.018540,0.019267
0.018554,0.019292
0.018556,0.019328
0.018556,0.019328
0.018556,0.019328
0.018556,0.019328
0.018556,0.019328
0.018569,0.019351
0.018556,0.019313
0.018571,0.019288
0.018580,0.019245
0.018580,0.019245
0.018580,0.019245
0.018580,0.019245
0.018580,0.019245
0.018580,0.019245
0.018580,0.019245
0.018569,0.019241
0.018532,0.019211
0.018515,0.019196
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018556,0.019216
0.018541,0.019257
0.018539,0.019299
0.018539,0.019299
0.018539,0.019299
0.018539,0.019299
0.018539,0.019299
0.018539,0.019299
0.018492,0.019279
0.018439,0.019295
0.018436,0.019359
0.018425,0.019418
0.018384,0.019366
0.018384,0.019366
0.018384,0.019366
0.018384,0.019366
0.018384,0.019366
0.018384,0.019366
0.018326,0.019325
0.018333,0.019383
0.018332,0.019429
0.018244,0.019329
0.018248,0.019363
0.018288,0.019319
0.018296,0.019328
0.018296,0.019328
0.018306,0.019383
0.018263,0.019409
0.018245,0.019436
0.018218,0.019439
0.018202,0.019479
0.018202,0.019479
0.018157,0.019571
0.018164,0.019603
0.018164,0.019603
0.018159,0.019644
0.018138,0.019661
0.018168,0.019606
0.018150,0.019640
0.018154,0.019707
0.018154,0.019707
0.018154,0.019707
0.018154,0.019707
0.018154,0.019707
0.018154,0.019707
0.018154,0.019707
0.018139,0.019675
0.018089,0.019586
0.018106,0.019606
0.018106,0.019606
0.018106,0.019606
0.018106,0.019606
0.018106,0.019606
0.018121,0.019606
0.018117,0.019595
0.018117,0.019564
0.018119,0.019545
0.018117,0.019538
0.018117,0.019538
0.018117,0.019538
0.018117,0.019538
0.018117,0.019538
0.018130,0.019519
0.018130,0.019519
0.018132,0.019496
0.018148,0.019456
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018179,0.019442
0.018200,0.019452
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018221,0.019426
0.018234,0.019444
0.018234,0.019444
0.018253,0.019385
0.018283,0.019395
0.018328,0.019370
0.018328,0.019370
0.018328,0.019370
0.018328,0.019370
0.018401,0.019274
0.018401,0.019274
0.018473,0.019180
0.018426,0.019196
0.018404,0.019215
0.018400,0.019233
0.018400,0.019233
0.018377,0.019231
0.018367,0.019229
0.018340,0.019245
0.018314,0.019239
0.018280,0.019259
0.018314,0.019232
0.018314,0.019232
0.018279,0.019241
0.018271,0.019215
0.018271,0.019215
0.018249,0.019203
0.018202,0.019180
0.018153,0.019175
0.018133,0.019173
0.018199,0.019102
0.018211,0.019041
0.018193,0.019015
0.018187,0.019046
0.018200,0.019052
0.018170,0.019072
0.018139,0.019057
0.018105,0.019106
0.018080,0.019094
0.018056,0.019164
0.018039,0.019216
0.018089,0.019128
0.018069,0.019177
0.018074,0.019175
0.018081,0.019171
0.018072,0.019199
0.018062,0.019238
0.018062,0.019238
0.018060,0.019242
0.018089,0.019209
0.018089,0.019209
0.018089,0.019209
0.018073,0.019268
0.018076,0.019309
0.018084,0.019342
0.018090,0.019382
0.018134,0.019341
0.018128,0.019389
0.018117,0.019442
0.018117,0.019442
0.018117,0.019442
0.018117,0.019442
0.018117,0.019442
0.018161,0.019405
0.018173,0.019434
0.018193,0.019462
0.018201,0.019512
0.018206,0.019569
0.018206,0.019569
0.018206,0.019569
0.018206,0.019569
0.018206,0.019569
0.018268,0.019494
0.018287,0.019522
0.018306,0.019549
0.018321,0.019582
0.018321,0.019582
0.018321,0.019582
0.018321,0.019582
0.018321,0.019582
0.018321,0.019582
0.018359,0.019545
0.018345,0.019623
0.018346,0.019684
0.018354,0.019731
0.018365,0.019757
0.018365,0.019757
